"id"	"novel_name"	"novel_author"	"novel_click"	"novel_count"	"novel_type"	"novel_recommend"	"novel_detail"	"time"	"url"
"90"	"七功神侠"	"沙金"	"103.0万点击"	"43.1万字"	"[武侠, 回归, 精品, 名家]"	"8推荐"	"  【最具影视改编潜力武侠作品】  四川作协会员作家投身网络文学最新力作。  自古江湖，人欲横流，争权夺利，以势凌人，一有点本事，就想有朝一日称霸武林，奴役同门。历代武林，有盛有衰，盛衰更迭，乃天道轮回，历史规律。  正当乾坤剑庐、紫玉剑庄、日月剑派三大剑派日盛武林，并且互谋武林盟主之际，却不料江湖上经过数十年的沉寂后，几乎是一夜之间，冒出了以猛虎山庄和血帝天宫为首的十大邪门恶派！这些邪恶之徒一成气候，就不仅祸害百姓，杀人越货，闹得江湖一派血雨腥风，而且还想争夺武林盟主，中原纷争又引来边地和外域的武功强人也来谋争中原霸主，整个武林处于血雨腥风之中，而仅凭三剑之力，开始还能平衡正邪两派的力量对比，后来就明显处于劣势了，眼看武林正派就要面临灭顶之灾！  凡事皆有天定，遭劫解劫，自有天数！ "	"更新时间：2018-03-07 15:58:05"	"http://www.shuhai.com/book/45261.htm"
"91"	"重生之吸星大法"	"天堂"	"128.9万点击"	"109.4万字"	"[修真, 废材流, 练功流, 升级, 修仙]"	"669推荐"	"  厚黑男‘舒烽’重生在剑仙世界的故事。  从天才变为废材的‘舒烽’以《吸星大法》吸取仙魔的灵力来修练，以诡道开辟了一条不一样的仙道。 "	"更新时间：2012-11-29 20:16:24"	"http://www.shuhai.com/book/701.htm"
"92"	"九龙魔神"	"黑幕底十三"	"28.8万点击"	"250.6万字"	"[玄幻, 吐槽, 护短, 嚣张, 狡猾]"	"234推荐"	"  这是一片充满灵气的大陆，在每一个角落都存在着可修行的能量，那便是灵气，无论是山川，河流，还是无人居住的沟壑之中，都有这种力量，这里便是轮回大陆。  我们主角，姓龙名麒，乃大陆李唐帝国京城世家龙家的长房长孙，亦是龙家的独苗，唯一的继承人，绰号乃京城混世魔王，实属第一纨绔，作恶多端，在京城中恶名累累，人闻皆逃窜。龙麒有一个好兄弟，也是京城世家子弟，名为张世峰，二人同为发小，同为兄弟，同为纨绔。  但是比之龙麒不一样的是，张世峰心中有梦想，他一直在藏拙！  而主角龙麒也在一年半前经历的某个事改头换面，彻底做人。  虽然外表依旧是这个纨绔子弟，但是灵魂却已经变成了一个异界的魔王，一条天外游魂！  在重新获得一条生命之后，龙麒身上获得了一件逆天法宝，名为轮回九龙诀，以轮回九龙诀为本命功法的他，筑基而获神器：轮回九龙殿，通过久久的修炼，轮回九龙殿已经升到第五层之高！ "	"更新时间：2021-01-23 10:31:00"	"http://www.shuhai.com/book/55938.htm"
"93"	"篮坛教主"	"48号大脚"	"112.1万点击"	"108.8万字"	"[竞技, 校园, 竞技, 老师, 励志]"	"396推荐"	"  【2019年最热血竞技文】  请你不要用文化课成绩来衡量老子的球员！  我们是狼群！  狼群就要用狼群的法则来定义好与坏！  我是一名篮球教练，我喂自己袋盐！ "	"更新时间：2019-08-31 15:35:44"	"http://www.shuhai.com/book/53307.htm"
"94"	"诡案调查科"	"鬼家公子"	"46.5万点击"	"122.5万字"	"[玄幻, 回归, 直播, 黑科技, 创造新世界]"	"37推荐"	"  悬罪灵案缠梦魂，破恶灭凶揭秘术。  万古怨魂惊天地，我为死者寻真凶。  世人不知警局的诡案调查科，其实这个组织是中山市特有的一个神秘警方特派科目，全称中山人民警察诡案调查科。  一个不断咀嚼人类的狂魔，在城里展开猎杀，诅咒的教堂每年都会有一个人被死灵修女带走，诡楼的传说是否存在！？现场留下的菱形诡异符号！乌鸦、野狼和猎鹰的狂魔到处犯罪！全城大乱！！  何笙利用古代技术来侦破案件还有小蝌蚪，高配反射镜等高科技无人机敲开死者嘴巴，抓捕血案真凶…… "	"更新时间：2021-05-30 10:24:00"	"http://www.shuhai.com/book/90623.htm"
"95"	"重生之都市修仙高手"	"我会发光啊"	"259.5万点击"	"109.7万字"	"[玄幻, 修仙]"	"149推荐"	"  什么？你们说穷逼不能逆袭？如果是一个会法术的穷逼呢？  一代仙尊从仙界归来，上一世他们视我如卑微蝼蚁，这一世定当定当让他们敬我如神。 "	"更新时间：2018-05-02 12:00:00"	"http://www.shuhai.com/book/44671.htm"
"96"	"降术诡谈"	"神童欧巴"	"22.6万点击"	"19.9万字"	"[悬疑, 升级, 凶案, 阵法]"	"0推荐"	"  你是否听过有人因为抑郁而自杀？也许是中降产生的幻觉，你又是否见过街道上有人自言自语？也许那不是神经病，而是身体有降头，传说深夜不能孤身一人去坟墓，会看到不该看到的，我的故事就从这里开始了…… "	"更新时间：2024-01-31 18:40:03"	"http://www.shuhai.com/book/103397.htm"
"97"	"守着神田开直播"	"万法由心"	"65.5万点击"	"73.9万字"	"[都市, 小农民, 淡定, 假装大佬]"	"14推荐"	"  “激活神田系统!”  “草莓十斤可以采摘。”  “橙子五十斤可以采摘。”  “苹果一百斤可以采摘……”  一夜之间，直播界三流主播陈文的果园大丰收。  随着带货高品质农副产品，带领全村发家致富，晋级一线主播。 "	"更新时间：2021-05-26 01:41:00"	"http://www.shuhai.com/book/101484.htm"
"98"	"奇脉相甲"	"开水豆腐"	"23.0万点击"	"130.4万字"	"[悬疑, 强者, 神符, 山村, 机智]"	"521推荐"	"  解放后、改革开放前，行业萧条，百废待兴，牛鬼蛇神，神出鬼没，势力杂乱，暗流涌动。人心大善大恶，江湖规矩约束言行。侠义走天下，金钱驱磨盘。  公孙无为身为相师，人称“相爷”，为解乌血之症，游历山川大河，遍寻五阳，救大善者与水火，送大恶者入牢笼。  公孙无为一入江湖，身不由己，利害两难，全为义字，舍己为人，视金钱如粪土，看苍生如父母。与未蓝爱恨情仇，未曾亏心，与黑极插香情义，两肋插刀，终究换得乌血赤，得见功德万世存。  人活磊落空炎凉，书宣正道满沧桑。 "	"更新时间：2020-11-20 10:45:00"	"http://www.shuhai.com/book/59051.htm"
"99"	"渤海人皮书"	"农夫仙拳"	"19.0万点击"	"129.0万字"	"[都市, 盗墓, 风水, 探宝, 勇猛]"	"25推荐"	"  好友人间蒸发，给我留下两个纸箱  其中一个，竟然有一张人皮！  震惊之余，我不得不将其烧掉  不料诡异之事接踵而来  我不得不踏上寻找渤海古国消失之谜的探险之路…… "	"更新时间：2019-10-13 21:03:39"	"http://www.shuhai.com/book/53419.htm"
